,latitude,longitude,station id,station name,nhood id
0,40.746745000000004,-74.007756,459,W 20 St & 11 Ave,4
1,40.73028666,-73.9907647,293,Lafayette St & E 8 St,10
2,40.71774592,-73.95600096,3090,N 8 St & Driggs Ave,10
3,40.7390169121,-74.0026376103,284,Greenwich Ave & 8 Ave,4
4,40.72710258,-74.00297088,128,MacDougal St & Prince St,4
5,40.72955361,-73.98057249,433,E 13 St & Avenue A,10
6,40.73532427,-73.99800419,254,W 11 St & 6 Ave,4
7,40.76009437,-73.99461843,515,W 43 St & 10 Ave,5
8,40.711065999999995,-74.009447,319,Fulton St & Broadway,3
9,40.69452800000001,-73.958089,372,Franklin Ave & Myrtle Ave,12
10,40.70706456,-74.00731853,264,Maiden Ln & Pearl St,3
11,40.77536905,-73.94803392,3150,E 85 St & York Ave,6
12,40.72243797,-74.00566443,377,6 Ave & Canal St,3
13,40.728846000000004,-74.00859100000002,347,Greenwich St & W Houston St,4
14,40.744023,-73.976056,527,E 33 St & 2 Ave,11
15,40.69089272,-73.99612349,157,Henry St & Atlantic Ave,2
16,40.74475148,-73.99915362,453,W 22 St & 8 Ave,4
17,40.751551,-73.993934,490,8 Ave & W 33 St,8
18,40.75019995,-73.99093085,492,W 33 St & 7 Ave,8
19,40.73047309,-73.98672378,237,E 11 St & 2 Ave,10
20,40.73172428,-74.00674436,127,Barrow St & Hudson St,4
21,40.72066442,-73.98517977,410,Suffolk St & Stanton St,1
22,40.71260486,-73.96264403,481,S 3 St & Bedford Ave,1
23,40.72938685,-73.97772429,511,E 14 St & Avenue B,10
24,40.73261787,-73.99158043,357,E 11 St & Broadway,10
25,40.73524276,-73.98758561,475,E 16 St & Irving Pl,10
26,40.71291224,-74.01020234,417,Barclay St & Church St,3
27,40.7489006,-73.97604882,167,E 39 St & 3 Ave,11
28,40.70277159,-73.99383605,217,Old Fulton St,2
29,40.71745169,-73.95850939,3093,N 6 St & Bedford Ave,10
30,40.73047747,-73.99906065,336,Sullivan St & Washington Sq,4
31,40.76087502,-74.00277668,514,12 Ave & W 40 St,5
32,40.77565541,-73.95068615,3148,E 84 St & 1 Ave,6
33,40.74317449,-74.00366443,434,9 Ave & W 18 St,4
34,40.69236178,-73.98631746,323,Lawrence St & Willoughby St,2
35,40.74238787,-73.99726235,334,W 20 St & 7 Ave,4
36,40.73381219196632,-73.9805442094803,2003,1 Ave & E 18 St,10
37,40.77112927,-73.95772297,3135,E 75 St & 3 Ave,6
38,40.72490985,-74.00154702,348,W Broadway & Spring St,3
39,40.751396,-74.00522600000002,458,11 Ave & W 27 St,5
40,40.736502,-73.97809472,545,E 23 St & 1 Ave,10
41,40.73223272,-73.98889957,483,E 12 St & 3 Ave,10
42,40.715143,-73.944507,3086,Graham Ave & Conselyea St,10
43,40.74444921,-73.98303529,546,E 30 St & Park Ave S,8
44,40.70767788,-73.94016171,3074,Montrose Ave & Bushwick Ave,12
45,40.73781509,-73.99994661,223,W 13 St & 7 Ave,4
46,40.71559509,-73.9870295,350,Clinton St & Grand St,1
47,40.78472675,-73.96961715,3168,Central Park West & W 85 St,6
48,40.7462009,-73.98855723,486,Broadway & W 29 St,8
49,40.76030096,-73.99884222,478,11 Ave & W 41 St,5
50,40.722055,-73.989111,312,Allen St & Stanton St,1
51,40.71307916,-73.99851193,308,St James Pl & Oliver St,2
52,40.71759081805981,-73.99622440338135,263,Elizabeth St & Hester St,2
53,40.73038599,-74.00214988,368,Carmine St & 6 Ave,4
54,40.71754834,-74.01322069,426,West St & Chambers St,3
55,40.69363137,-73.96223558,354,Emerson Pl & Myrtle Ave,12
56,40.77801203,-73.95407149,3147,E 85 St & 3 Ave,6
57,40.69681963,-73.93756926,3064,Myrtle Ave & Lewis Ave,12
58,40.75929124,-73.98859651,2021,W 45 St & 8 Ave,5
59,40.77140426,-73.9535166,3140,1 Ave & E 78 St,6
60,40.68223166,-73.9614583,365,Fulton St & Grand Ave,12
61,40.75383343437622,-73.94267678260802,3237,21 St & 41 Ave,9
62,40.739445,-73.97680600000002,2012,E 27 St & 1 Ave,10
63,40.72953837,-73.98426726,326,E 11 St & 1 Ave,10
64,40.76915505,-73.98191841,499,Broadway & W 60 St,7
65,40.76019252,-73.9912551,479,9 Ave & W 45 St,5
66,40.72299208,-73.97995466,393,E 5 St & Avenue C,10
67,40.693261,-73.968896,366,Clinton Ave & Myrtle Ave,1
68,40.7381765,-73.97738662,174,E 25 St & 1 Ave,10
69,40.69128258,-73.9452416,3057,Kosciuszko St & Tompkins Ave,12
70,40.73401143,-74.00293877,380,W 4 St & 7 Ave S,4
71,40.71924,-73.95241999999998,3096,Union Ave & N 12 St,10
72,40.71534825,-73.96024116,539,Metropolitan Ave & Bedford Ave,10
73,40.74290902,-73.97706058,528,2 Ave & E 31 St,11
74,40.73997354103409,-74.00513872504234,3224,W 13 St & Hudson St,4
75,40.73226398,-73.99852205,252,MacDougal St & Washington Sq,4
76,40.756014,-73.967416,441,E 52 St & 2 Ave,9
77,40.74311555376486,-73.98215353488922,540,Lexington Ave & E 29 St,8
78,40.71581550000001,-73.99422366,412,Forsyth St & Canal St,2
79,40.78339981,-73.98093133,3162,W 78 St & Broadway,7
80,40.74734825,-73.99723551,494,W 26 St & 8 Ave,8
81,40.72906,-73.95779,3112,Milton St & Franklin St,10
82,40.7652654,-73.98192338,468,Broadway & W 55 St,7
83,40.73555,-73.95284000000002,3118,McGuinness Blvd & Eagle St,10
84,40.74780373,-73.97344190000003,518,E 39 St & 2 Ave,11
85,40.73454567,-73.99074142,285,Broadway & E 14 St,10
86,40.75797322,-73.96603308,385,E 55 St & 2 Ave,9
87,40.76727216,-73.99392888,72,W 52 St & 11 Ave,5
88,40.74854862,-73.98808416,498,Broadway & W 32 St,8
89,40.75660359,-73.9979009,448,W 37 St & 10 Ave,5
90,40.71273266,-74.0046073,387,Centre St & Chambers St,3
91,40.71146364,-74.00552427,224,Spruce St & Nassau St,3
92,40.76312584,-73.96526895,3134,3 Ave & E 62 St,9
93,40.73221853,-73.98165557,504,1 Ave & E 16 St,10
