,start station id,start station name,start station latitude,start station longitude,start neighborhood,start median income,start borough
333,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,4,69821.0,1
337,427,Bus Slip & State St,40.701907,-74.013942,19,123243.0,1
339,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,6,58869.0,0
340,376,John St & William St,40.70862144,-74.00722156,19,123243.0,1
342,3127,9 St & 44 Rd,40.74966,-73.9521,0,58595.0,2
344,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,33,113829.0,1
351,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,2,109966.0,1
354,3285,W 87 St  & Amsterdam Ave,40.78839,-73.9747,10,92971.0,1
355,291,Madison St & Montgomery St,40.713126,-73.984844,30,31935.0,1
358,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,21,62096.0,0
359,3398,Smith St & 9 St,40.67469570000001,-73.99785768,1,79054.0,0
360,3314,W 95 St & Broadway,40.7937704,-73.971888,10,92971.0,1
361,3284,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,35,147762.0,1
363,3336,E 97 St & Madison Ave,40.787801,-73.953559,27,35760.0,1
364,3150,E 85 St & York Ave,40.77536905,-73.94803392,14,92921.0,1
366,3427,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,7,110790.0,1
369,342,Columbia St & Rivington St,40.71739973,-73.98016555,30,31935.0,1
370,3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,31,76775.0,0
371,533,Broadway & W 39 St,40.75299641,-73.98721619,34,113844.0,1
373,3343,W 107 St & Columbus Ave,40.7997568,-73.9621128676,Morningside Heights,52052.0,1
374,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,33,113829.0,1
375,2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,8,96624.0,1
376,426,West St & Chambers St,40.71754834,-74.01322069,19,123243.0,1
381,334,W 20 St & 7 Ave,40.74238787,-73.99726235,20,100734.0,1
383,3144,E 81 St & Park Ave,40.77677702,-73.95900970000002,35,147762.0,1
384,408,Market St & Cherry St,40.71076228,-73.99400398,12,34549.0,1
385,361,Allen St & Hester St,40.71605866,-73.99190759,12,34549.0,1
386,458,11 Ave & W 27 St,40.751396,-74.00522600000002,20,100734.0,1
387,495,W 47 St & 10 Ave,40.76269882,-73.99301222,4,69821.0,1
390,412,Forsyth St & Canal St,40.71581550000001,-73.99422366,12,34549.0,1
393,508,W 46 St & 11 Ave,40.76341379,-73.99667444,4,69821.0,1
395,502,Henry St & Grand St,40.714215,-73.981346,30,31935.0,1
398,498,Broadway & W 32 St,40.74854862,-73.98808416,34,113844.0,1
399,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,15,110912.0,1
401,3166,Riverside Dr & W 72 St,40.78057799010335,-73.98562431335448,10,92971.0,1
403,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284000000002,18,65004.0,0
404,3112,Milton St & Franklin St,40.72906,-73.95779,18,65004.0,0
405,363,West Thames St,40.70834698,-74.01713445,19,123243.0,1
406,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,19,123243.0,1
414,3301,Columbus Ave & W 95 St,40.7919557,-73.968087,10,92971.0,1
423,3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,10,92971.0,1
426,514,12 Ave & W 40 St,40.76087502,-74.00277668,20,100734.0,1
430,3106,Driggs Ave & N Henry St,40.72325,-73.94308000000002,18,65004.0,0
431,346,Bank St & Hudson St,40.73652889,-74.00618026,15,110912.0,1
436,3323,W 106 St & Central Park West,40.798185600000004,-73.96059090060001,10,92971.0,1
440,3434,W 88 St & West End Ave,40.79025417330417,-73.97718340158461,10,92971.0,1
443,410,Suffolk St & Stanton St,40.72066442,-73.98517977,12,34549.0,1
444,3151,E 81 St & York Ave,40.7728384,-73.94989233,14,92921.0,1
449,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,32,97507.0,1
453,3388,President St & Henry St,40.6828003,-73.99990419,1,79054.0,0
454,525,W 34 St & 11 Ave,40.75594159,-74.0021163,20,100734.0,1
459,3168,Central Park West & W 85 St,40.78472675,-73.96961715,9,0.0,1
460,3436,Greenwich St & Hubert St,40.721319,-74.010065,7,110790.0,1
470,3002,South End Ave & Liberty St,40.711512,-74.01575600000002,19,123243.0,1
471,3077,Stagg St & Union Ave,40.70877084,-73.95095259,29,56772.0,0
